Name,District,Municipality,Township,Line
Faro,FARO,FARO,Faro,Linha do Algarve
Tunes,FARO,SILVES,Tunes,Linha do Sul
Meia Praia,FARO,LAGOS,São Gonçalo de Lagos,Linha do Algarve
Olhão,FARO,OLHÃO,Olhão,Linha do Algarve
Tavira,FARO,TAVIRA,Tavira (Santa Maria e Santiago),Linha do Algarve
Luz,FARO,TAVIRA,Luz de Tavira e Santo Estêvão,Linha do Algarve
Algoz,FARO,SILVES,Algoz e Tunes,Linha do Algarve
Boliqueime,FARO,LOULÉ,Boliqueime,Linha do Algarve
Ferragudo,FARO,LAGOA,Estômbar e Parchal,Linha do Algarve
Fuseta,FARO,OLHÃO,Moncarapacho e Fuseta,Linha do Algarve
Alcantarilha,FARO,SILVES,Alcantarilha e Pêra,Linha do Algarve
Poço Barreto,FARO,SILVES,Silves,Linha do Algarve
Silves,FARO,SILVES,Silves,Linha do Algarve
Bom João,FARO,FARO,Faro (Sé e São Pedro),Linha do Algarve
Almancil,FARO,LOULÉ,Almancil,Linha do Algarve
Parque das Cidades,FARO,LOULÉ,Almancil,Linha do Algarve
Estômbar-Lagoa,FARO,LAGOA,Estômbar e Parchal,Linha do Algarve
Fuseta-A,FARO,OLHÃO,Moncarapacho e Fuseta,Linha do Algarve
Cacela,FARO,VILA REAL DE SANTO ANTÓNIO,Vila Nova de Cacela,Linha do Algarve
Portimão,FARO,PORTIMÃO,Portimão,Linha do Algarve
Mexilhoeira Grande,FARO,PORTIMÃO,Mexilhoeira Grande,Linha do Algarve
Messines-Alte,FARO,SILVES,São Bartolomeu de Messines,Linha do Sul
São Marcos,FARO,SILVES,São Marcos da Serra,Linha do Sul
Lagos,FARO,LAGOS,São Gonçalo de Lagos,Linha do Algarve
Castro Marim,FARO,CASTRO MARIM,Castro Marim,Linha do Algarve
Loulé,FARO,LOULÉ,Loulé (São Sebastião),Linha do Algarve
Conceição,FARO,TAVIRA,Conceição e Cabanas de Tavira,Linha do Algarve
Monte Gordo,FARO,VILA REAL DE SANTO ANTÓNIO,Monte Gordo,Linha do Algarve
Albufeira - Ferreiras,FARO,ALBUFEIRA,Ferreiras,Linha do Algarve
Vila Real de Stº António,FARO,VILA REAL DE SANTO ANTÓNIO,Vila Real de Santo António,Linha do Algarve
Livramento,FARO,TAVIRA,Luz de Tavira e Santo Estêvão,Linha do Algarve
Porta Nova,FARO,TAVIRA,Tavira (Santa Maria e Santiago),Linha do Algarve
