Name,District,Municipality,Township,Line
Lisboa Oriente,LISBOA,LISBOA,Parque das Nações,Linha do Norte
Marvila,LISBOA,LISBOA,Marvila,Linha de Cintura
Cais do Sodré,LISBOA,LISBOA,Misericórdia,Linha de Cascais
Roma - Areeiro,LISBOA,LISBOA,Alvalade,Linha de Cintura
Entrecampos - Poente,LISBOA,LISBOA,Avenidas Novas,Linha de Cintura
Sete Rios,LISBOA,LISBOA,São Domingos de Benfica,Linha de Cintura
Chelas,LISBOA,LISBOA,Beato,Linha de Cintura
Alcântara-Mar,LISBOA,LISBOA,Estrela,Linha de Cascais
Alcântara-Terra,LISBOA,LISBOA,Estrela,Linha de Cintura
Lisboa Santa Apolónia,LISBOA,LISBOA,São Vicente,Linha do Norte
Belém,LISBOA,LISBOA,Belém,Linha de Cascais
Benfica,LISBOA,LISBOA,Benfica,Linha de Sintra
Entrecampos,LISBOA,LISBOA,Alvalade,Linha de Cintura
Alvito-A,LISBOA,LISBOA,Alcântara,Linha do Sul
Braço de Prata,LISBOA,LISBOA,Marvila,Linha do Norte
Lisboa Rossio,LISBOA,LISBOA,Santa Maria Maior,Linha de Sintra
